Date,RAD_Lot,Waterlevel,Temperature,Precip,Precip_d10_mean
1/1/2013,1.529,210.95,5.6,5.5,
1/2/2013,1.657,211.02,4.6,0.7,
1/3/2013,1.613,211.02,7.7,1.9,
1/4/2013,1.483,211.08,8.5,2.1,
1/5/2013,1.512,211.13,6.6,1.0,
1/6/2013,1.571,211.21,6.6,0.1,
1/7/2013,1.591,211.27,6.8,0.0,
1/8/2013,1.642,211.33,5.7,0.1,
1/9/2013,1.693,211.37,5.2,6.1,
1/10/2013,1.819,211.44,3.3,2.6,2.0
1/11/2013,2.065,211.52,-2.3,0.1,1.5
1/12/2013,2.275,211.56,-2.4,0.0,1.4
1/13/2013,2.336,211.57,-4.0,0.7,1.3
1/14/2013,2.514,211.66,-4.2,1.0,1.2
1/15/2013,2.656,211.66,-3.8,4.9,1.6
1/16/2013,2.747,211.66,-4.4,0.2,1.6
1/17/2013,2.808,211.68,-4.6,0.5,1.6
1/18/2013,2.865,211.67,-3.6,0.0,1.6
1/19/2013,2.949,211.69,-6.2,0.0,1.0
1/20/2013,2.957,211.68,-4.7,11.3,1.9
1/21/2013,3.020,211.74,-2.6,1.2,2.0
1/22/2013,3.084,211.71,-3.4,0.0,2.0
1/23/2013,3.134,211.68,-5.1,0.0,1.9
1/24/2013,3.285,211.71,-5.4,0.0,1.8
1/25/2013,3.313,211.7,-4.3,0.0,1.3
1/26/2013,3.341,211.69,-3.4,0.2,1.3
1/27/2013,3.322,211.66,1.9,0.5,1.3
1/28/2013,3.321,211.64,3.4,1.0,1.4
1/29/2013,3.098,211.61,7.8,4.3,1.9
1/30/2013,2.676,211.65,9.7,8.6,1.6
1/31/2013,2.639,211.77,6.4,3.9,1.9
2/1/2013,2.699,211.88,4.5,11.2,3.0
2/2/2013,2.852,211.97,2.1,1.8,3.2
2/3/2013,2.989,212.08,2.3,13.1,4.5
2/4/2013,2.917,212.2,6.1,2.9,4.8
2/5/2013,3.025,212.34,2.4,5.9,5.3
2/6/2013,3.223,212.53,0.4,0.8,5.4
2/7/2013,3.315,212.6,0.4,4.3,5.7
2/8/2013,3.404,212.63,-0.9,0.8,5.3
2/9/2013,3.495,212.61,-2.3,0.0,4.5
2/10/2013,3.529,212.63,-2.9,0.0,4.1
2/11/2013,3.508,212.6,-3.1,0.0,3.0
2/12/2013,3.617,212.61,-2.0,0.0,2.8
2/13/2013,3.718,212.61,-2.6,0.6,1.5
2/14/2013,3.672,212.61,-2.6,0.9,1.3
2/15/2013,3.807,212.62,1.3,4.1,1.2
2/16/2013,3.792,212.64,3.6,0.7,1.1
2/17/2013,3.762,212.66,2.0,0.0,0.7
2/18/2013,3.801,212.69,1.0,0.7,0.7
2/19/2013,3.865,212.7,0.0,4.3,1.1
2/20/2013,3.923,212.72,-1.7,0.3,1.2
2/21/2013,3.930,212.74,-2.5,1.4,1.3
2/22/2013,4.056,212.72,-4.3,0.0,1.3
2/23/2013,4.050,212.72,-4.2,3.4,1.6
2/24/2013,4.089,212.72,-1.0,1.8,1.7
2/25/2013,4.124,212.73,0.4,2.3,1.5
2/26/2013,4.129,212.74,1.0,0.0,1.4
2/27/2013,4.123,212.74,-0.2,0.0,1.4
2/28/2013,4.090,212.74,0.7,0.0,1.4
3/1/2013,4.053,212.73,0.9,0.3,1.0
3/2/2013,4.085,212.74,1.2,0.3,1.0
3/3/2013,4.078,212.73,1.0,0.3,0.8
3/4/2013,4.129,212.74,3.6,0.0,0.8
3/5/2013,4.106,212.71,6.7,0.0,0.5
3/6/2013,4.044,212.71,6.2,0.0,0.3
3/7/2013,3.907,212.7,6.4,2.1,0.3
3/8/2013,3.685,212.73,9.3,5.1,0.8
3/9/2013,3.580,212.75,7.6,10.2,1.8
3/10/2013,3.703,212.8,1.3,3.3,2.2
3/11/2013,4.026,212.93,-4.3,1.3,2.3
3/12/2013,4.142,212.95,-4.8,0.6,2.3
3/13/2013,4.131,212.98,-4.3,0.1,2.3
3/14/2013,4.230,212.97,-2.9,1.3,2.4
3/15/2013,4.218,212.98,-2.9,0.0,2.4
3/16/2013,4.329,212.96,3.4,0.0,2.4
3/17/2013,4.321,212.95,3.1,0.8,2.3
3/18/2013,4.279,212.93,4.9,0.0,1.8
3/19/2013,4.276,212.9,1.6,0.6,0.8
3/20/2013,4.314,212.88,-0.1,7.1,1.2
3/21/2013,4.373,212.88,-1.0,0.6,1.1
3/22/2013,4.415,212.85,-1.7,0.0,1.1
3/23/2013,4.456,212.84,-2.7,0.0,1.0
3/24/2013,4.492,212.86,-3.4,0.0,0.9
3/25/2013,4.528,212.88,-2.8,0.0,0.9
3/26/2013,4.510,212.85,-2.1,0.0,0.9
3/27/2013,4.538,212.85,-1.3,0.0,0.8
3/28/2013,4.626,212.9,-0.4,0.0,0.8
3/29/2013,4.613,212.88,-1.1,0.2,0.8
3/30/2013,4.569,212.87,-0.7,0.6,0.1
3/31/2013,4.544,212.87,-0.5,0.0,0.1
4/1/2013,4.593,212.86,0.0,0.0,0.1
4/2/2013,4.619,212.88,0.8,0.0,0.1
4/3/2013,4.618,212.92,0.9,0.0,0.1
4/4/2013,4.585,212.91,1.8,0.0,0.1
4/5/2013,4.546,212.9,1.2,0.3,0.1
4/6/2013,4.506,212.9,1.6,0.6,0.2
4/7/2013,4.452,212.9,3.2,0.0,0.2
4/8/2013,4.369,212.9,4.2,0.3,0.2
4/9/2013,4.228,212.87,5.7,0.5,0.2
4/10/2013,4.126,212.87,6.7,1.9,0.4
4/11/2013,3.887,212.85,10.1,0.9,0.5
4/12/2013,3.669,212.84,9.1,3.2,0.8
4/13/2013,3.562,212.87,9.4,0.4,0.8
4/14/2013,3.232,212.88,14.1,0.0,0.8
4/15/2013,2.981,212.9,16.0,0.9,0.9
4/16/2013,2.856,212.85,14.6,0.0,0.8
4/17/2013,2.540,212.86,15.4,0.0,0.8
4/18/2013,2.385,212.85,15.3,0.0,0.8
4/19/2013,2.517,212.86,9.6,0.0,0.7
4/20/2013,2.670,212.86,6.3,0.0,0.5
4/21/2013,2.720,212.85,9.3,0.0,0.5
4/22/2013,2.609,212.87,10.8,0.0,0.1
4/23/2013,2.464,212.84,11.3,0.0,0.1
4/24/2013,2.325,212.85,14.9,0.0,0.1
4/25/2013,2.058,212.84,15.5,0.0,0.0
4/26/2013,2.024,212.82,12.0,12.4,1.2
4/27/2013,2.382,212.82,5.1,0.0,1.2
4/28/2013,2.625,212.86,6.4,0.0,1.2
4/29/2013,2.601,212.84,9.3,0.0,1.2
4/30/2013,2.555,212.81,8.6,0.0,1.2
5/1/2013,2.425,212.82,10.4,0.0,1.2
5/2/2013,2.236,212.81,11.4,0.0,1.2
5/3/2013,1.974,212.77,13.1,0.0,1.2
5/4/2013,1.845,212.75,13.1,0.0,1.2
5/5/2013,1.739,212.75,13.3,0.0,1.2
5/6/2013,1.600,212.75,15.9,0.0,0.0
5/7/2013,1.551,212.71,13.0,1.3,0.1
5/8/2013,1.503,212.68,15.1,0.1,0.1
5/9/2013,1.325,212.67,15.2,0.6,0.2
5/10/2013,1.341,212.66,12.3,1.0,0.3
5/11/2013,1.402,212.62,11.3,2.7,0.6
5/12/2013,1.469,212.61,8.1,5.4,1.1
5/13/2013,1.591,212.62,10.3,0.5,1.2
5/14/2013,1.577,212.58,10.6,0.6,1.2
5/15/2013,1.484,212.58,13.9,0.1,1.2
5/16/2013,1.314,212.55,14.1,3.3,1.6
5/17/2013,1.353,212.54,10.4,0.3,1.5
5/18/2013,1.436,212.5,9.8,0.2,1.5
5/19/2013,1.333,212.48,12.4,8.6,2.3
5/20/2013,1.203,212.47,11.1,3.0,2.5
5/21/2013,1.246,212.47,12.3,19.6,4.2
5/22/2013,1.414,212.46,7.7,0.8,3.7
5/23/2013,1.711,212.5,4.6,9.0,4.6
5/24/2013,1.688,212.54,7.2,0.0,4.5
5/25/2013,1.582,212.51,7.7,14.0,5.9
5/26/2013,1.707,212.55,8.4,12.3,6.8
5/27/2013,1.676,212.72,11.8,0.0,6.8
5/28/2013,1.404,212.81,13.9,0.0,6.7
5/29/2013,1.302,212.82,10.1,2.5,6.1
5/30/2013,1.393,212.78,11.7,0.9,5.9
5/31/2013,1.184,212.73,14.6,3.8,4.3
6/1/2013,1.196,212.76,10.3,0.1,4.3
6/2/2013,1.280,212.76,10.5,0.0,3.4
6/3/2013,1.161,212.73,10.4,0.0,3.4
6/4/2013,0.987,212.7,12.6,0.0,2.0
6/5/2013,0.722,212.71,15.8,0.0,0.7
6/6/2013,0.396,212.71,17.9,0.0,0.7
6/7/2013,0.152,212.76,18.6,0.0,0.7
6/8/2013,-0.024,212.74,18.2,0.1,0.5
6/9/2013,0.124,212.74,13.0,0.0,0.4
6/10/2013,0.189,212.75,12.5,0.0,0.0
6/11/2013,0.128,212.73,14.5,0.0,0.0
6/12/2013,-0.080,212.73,18.0,0.0,0.0
6/13/2013,-0.265,212.7,18.0,23.5,2.4
6/14/2013,-0.046,212.8,14.2,0.0,2.4
6/15/2013,-0.103,212.82,15.0,0.4,2.4
6/16/2013,-0.209,212.82,15.7,0.0,2.4
6/17/2013,-0.330,212.82,18.9,0.4,2.4
6/18/2013,-0.713,212.8,23.6,0.0,2.4
6/19/2013,-1.161,212.82,25.5,0.0,2.4
6/20/2013,-1.193,212.79,20.1,12.0,3.6
6/21/2013,-1.016,212.79,17.6,0.1,3.6
6/22/2013,-0.991,212.82,18.1,0.6,3.7
6/23/2013,-0.868,212.82,14.7,1.0,1.5
6/24/2013,-0.718,212.82,13.4,1.9,1.6
6/25/2013,-0.504,212.83,11.7,0.0,1.6
6/26/2013,-0.300,212.78,10.9,11.8,2.8
6/27/2013,-0.216,212.79,11.3,5.2,3.3
6/28/2013,-0.066,212.77,11.2,11.9,4.5
6/29/2013,-0.077,212.77,13.6,2.7,4.7
6/30/2013,-0.082,212.82,13.4,0.0,3.5
7/1/2013,-0.293,212.84,17.7,0.0,3.5
7/2/2013,-0.452,212.82,17.4,1.6,3.6
7/3/2013,-0.618,212.82,17.4,2.5,3.8
7/4/2013,-0.712,212.82,18.3,0.0,3.6
7/5/2013,-0.930,212.8,18.7,0.0,3.6
7/6/2013,-1.081,212.79,19.3,0.0,2.4
7/7/2013,-1.275,212.78,19.7,0.0,1.9
7/8/2013,-1.408,212.76,19.7,0.0,0.7
7/9/2013,-1.510,212.74,19.7,0.0,0.4
7/10/2013,-1.524,212.71,15.7,0.0,0.4
7/11/2013,-1.367,212.7,13.4,0.1,0.4
7/12/2013,-1.360,212.66,13.8,0.0,0.3
7/13/2013,-1.428,212.63,14.9,0.0,0.0
7/14/2013,-1.396,212.59,13.7,0.0,0.0
7/15/2013,-1.342,212.56,17.6,0.0,0.0
7/16/2013,-1.546,212.52,19.3,0.0,0.0
7/17/2013,-1.645,212.47,19.9,0.0,0.0
7/18/2013,-1.750,212.43,21.3,0.0,0.0
7/19/2013,-1.902,212.39,19.6,0.0,0.0
7/20/2013,-2.007,212.35,17.7,0.0,0.0
7/21/2013,-2.129,212.31,22.6,0.0,0.0
7/22/2013,-2.373,212.27,24.7,0.0,0.0
7/23/2013,-2.510,212.22,24.0,0.0,0.0
7/24/2013,-2.476,212.16,20.8,14.3,1.4
7/25/2013,-2.439,212.12,22.3,0.0,1.4
7/26/2013,-2.510,212.07,21.7,0.2,1.5
7/27/2013,-2.645,212.01,24.3,0.0,1.5
7/28/2013,-2.841,211.95,22.2,0.2,1.5
7/29/2013,-2.692,211.89,20.5,0.0,1.5
7/30/2013,-2.577,211.83,18.7,3.4,1.8
7/31/2013,-2.496,211.77,19.0,0.0,1.8
8/1/2013,-2.519,211.72,23.4,0.0,1.8
8/2/2013,-2.889,211.66,27.3,1.1,1.9
8/3/2013,-3.012,211.6,23.6,0.0,0.5
8/4/2013,-2.923,211.53,21.3,0.0,0.5
8/5/2013,,211.47,23.6,0.0,0.5
8/6/2013,-2.953,211.4,21.7,0.1,0.5
8/7/2013,-2.833,211.33,19.6,3.4,0.8
8/8/2013,-2.738,211.25,16.3,1.1,0.9
8/9/2013,-2.609,211.16,17.4,0.0,0.6
8/10/2013,-2.615,211.09,17.0,0.0,0.6
8/11/2013,-2.513,211,16.0,10.0,1.6
8/12/2013,-2.467,210.94,16.6,1.8,1.6
8/13/2013,-2.340,210.87,13.6,5.0,2.1
8/14/2013,-2.183,210.87,14.6,0.0,2.1
8/15/2013,-2.175,210.84,17.1,0.0,2.1
8/16/2013,-2.288,210.81,21.3,0.6,2.2
8/17/2013,-2.441,210.78,20.3,0.0,1.9
8/18/2013,-2.501,210.74,19.2,8.9,2.6
8/19/2013,-2.407,210.72,17.0,0.2,2.7
