date,W_0,W_1,W_2,W_3,T2_0,T2_1,T2_2,T2_3
2017-11-17,302.64,303.36,303.9,304.49,7.698,8.529,8.529,7.011
2017-11-19,300.24,301.56,302.64,303.36,5.294,3.629,7.698,8.529
2017-11-28,284.04,284.04,284.04,284.04,5.294,5.13,5.294,6.222
2017-12-01,284.04,284.04,284.04,284.04,2.059,2.059,4.501,5.294
2017-12-09,284.04,284.04,284.04,284.04,2.059,4.157,5.788,7.25
2017-12-13,284.04,284.04,284.04,284.04,2.059,2.434,3.791,2.248
2017-12-20,284.04,284.04,284.04,284.04,5.83,3.133,2.059,2.059
2017-12-25,284.04,284.04,284.04,284.04,6.373,6.373,6.373,9.529
2017-12-31,284.04,284.04,284.04,284.04,10.823,5.813,3.137,5.038
2018-01-06,284.04,284.04,284.04,284.04,5.245,9.543,7.233,6.903
2018-01-11,284.04,284.04,284.04,284.04,7.694,7.298,4.791,3.953
2018-01-18,284.04,284.04,284.04,284.04,3.892,3.137,4.667,3.137
2018-01-22,284.04,284.04,284.04,284.04,4.598,3.137,3.137,3.137
2018-01-30,284.04,284.04,284.04,284.04,5.784,9.608,7.289,6.373
2018-02-02,284.04,284.04,284.04,284.04,3.137,3.524,6.056,5.784
2018-02-11,284.04,284.04,284.04,284.04,3.137,1.634,-1.821,-2.325
2018-02-13,284.04,284.04,284.04,284.04,1.234,2.796,3.137,1.634
2018-02-23,284.04,284.04,284.04,284.04,0.778,0.464,1.879,1.872
2018-02-24,284.04,284.04,284.04,284.04,-0.044,0.778,0.464,1.879
2018-03-07,284.04,284.04,284.04,284.04,7.548,6.957,7.491,6.285
2018-03-18,284.04,284.04,284.04,284.04,-0.098,0.52,7.84,8.133
2018-03-19,284.04,284.04,284.04,284.04,0.971,-0.098,0.52,7.84
2018-03-29,284.04,284.04,284.04,284.04,6.368,7.521,7.696,8.828
2018-03-31,284.04,284.04,284.04,284.04,9.484,8.163,6.368,7.521
2018-04-09,284.04,284.04,284.04,284.04,16.117,16.842,15.333,8.383
2018-04-12,284.04,284.04,284.04,284.04,13.283,13.337,16.548,16.117
2018-04-20,284.04,284.04,284.04,284.04,20.421,20.943,18.619,15.16
2018-04-24,284.04,284.04,284.04,284.04,12.783,16.952,19.255,19.824
2018-05-01,,284.04,284.04,284.04,9.448,14.77,15.892,14.805
2018-05-06,,,,,18.909,16.454,13.533,13.456
2018-05-12,,,,,19.352,15.173,15.557,20.976
2018-05-18,,,,,14.533,14.98,16.903,18.622
2018-05-23,,,,,19.812,20.001,20.077,17.283
2018-05-30,,,,,24.032,22.162,23.708,23.027
2018-06-03,,,,,21.495,19.898,20.655,22.735
2018-06-11,,,,,20.626,23.32,24.677,21.439
2018-06-14,,,,,15.775,15.481,17.698,20.626
2018-06-23,,,,,14.699,13.304,17.943,23.998
2018-06-25,,,,,17.186,15.373,14.699,13.304
2018-07-05,,,,,22.059,22.792,21.79,20.969
2018-07-17,,,,,22.785,22.443,21.217,21.185
2018-07-29,,,,,22.839,22.789,27.157,27.923
2018-08-08,,,,,24.436,27.254,24.066,24.668
2018-08-10,,,,,19.111,21.405,24.436,27.254
2018-08-19,,,,,20.57,19.226,19.77,21.888
2018-08-22,,,,,24.546,23.596,20.828,20.57
2018-08-30,,,,,18.314,19.972,19.403,17.694
2018-09-03,,,,,18.833,17.136,14.912,15.726
2018-09-10,,,,,17.056,18.233,14.562,15.633
2018-09-15,,,,,15.294,14.825,15.559,19.815
2018-09-21,,,,,18.408,20.693,21.349,22.005
2018-09-27,,,,,14.483,10.448,9.734,11.014
2018-10-02,,,,,9.37,10.199,10.14,9.206
2018-10-09,,,,,12.958,10.884,12.607,15.863
2018-10-13,,,,,20.666,20.147,18.779,15.225
2018-10-21,,,,,9.85,10.041,15.708,15.025
2018-10-24,,,,,11.765,7.631,8.365,9.85
2018-11-02,,,,,10.686,10.127,9.215,5.323
2018-11-04,,,,,6.633,4.73,10.686,10.127
2018-11-14,,,,,8.534,11.765,13.324,11.765
2018-11-15,,,,,6.197,8.534,11.765,13.324
