,267218
2020-01-05,-20.42161720841875
2020-01-11,-20.622656879660738
2020-01-17,-20.860710991669603
2020-01-23,-20.49906671130463
2020-01-29,-20.575954027526535
2020-02-04,-20.71346676661441
2020-02-10,-20.908673304221033
2020-02-16,-21.255655054061968
2020-02-22,-20.927485223103858
2020-02-28,-20.67356944873994
2020-03-05,-20.749493835314638
2020-03-11,-21.271971084879553
2020-03-17,-21.29114276916556
2020-03-23,-20.875448856531193
2020-03-29,-20.863733387910944
2020-04-04,-21.168679961507394
2020-04-10,-21.54509855148312
2020-04-16,-21.652825705706107
2020-04-22,-21.851040761075925
2020-04-28,-21.614871858409224
2020-05-04,-21.577565677883552
2020-05-10,-21.835346325137778
2020-05-16,-21.584132796663205
2020-05-22,-22.034762256489444
2020-05-28,-21.83009157848111
2020-06-03,-22.022448569444904
2020-06-09,-21.599163812403294
2020-06-15,-21.803277657374018
2020-06-21,-21.760303683845592
2020-06-27,-21.927136118765667
2020-07-03,-21.34781970719756
2020-07-09,-21.41984579878028
2020-07-15,-21.168535223180683
2020-07-21,-21.07504221370109
2020-07-27,-21.261307495528087
2020-08-02,-21.32487205207537
2020-08-08,-21.647285555375475
2020-08-14,-21.476120220527022
2020-08-20,-21.576666540029535
2020-08-26,-21.194198448976692
2020-09-01,-21.178581350056792
2020-09-07,-21.17104002148882
2020-09-13,-21.504791199244593
2020-09-19,-21.540195703795874
2020-09-25,-21.45192379419113
2020-10-01,-21.706639228828656
2020-10-07,-21.862565115877743
2020-10-13,-21.857878941726316
2020-10-19,-22.25174214117045
2020-10-25,-22.701066426403983
2020-10-31,-22.988095599162563
2020-11-06,-22.749073359234824
2020-11-12,-23.20525143221696
2020-11-18,-23.517151686233685
2020-11-24,-23.258455313322536
2020-11-30,-22.896643198322465
2020-12-06,-23.198532522719436
2020-12-12,-23.355225630630688
2020-12-18,-23.334806928946985
2020-12-24,-23.416939458526972
2020-12-30,-23.299247698893925
