,287970
2020-01-05,-5.021742997924319
2020-01-11,-4.779001531738671
2020-01-17,-5.351597123659176
2020-01-23,-5.117984327260488
2020-01-29,-5.258674519103982
2020-02-04,-4.7301587936238
2020-02-10,-5.28224849661372
2020-02-16,-4.739726327955627
2020-02-22,-4.322915801021273
2020-02-28,-4.687827022280364
2020-03-05,-4.679105903140302
2020-03-11,-4.855716694211434
2020-03-17,-3.587404263969276
2020-03-23,-3.9342412023980096
2020-03-29,-4.28443231627706
2020-04-04,-4.467172612876248
2020-04-10,-3.6922726326794084
2020-04-16,-3.6007289958659836
2020-04-22,-3.0535340775000215
2020-04-28,-2.9712992358074395
2020-05-04,-3.01286564444114
2020-05-10,-3.0904520886101814
2020-05-16,-2.9591377314797267
2020-05-22,-3.02618761352125
2020-05-28,-2.2874504459670657
2020-06-03,-2.6026822007557016
2020-06-09,-2.280146085476124
2020-06-15,-2.579714124992517
2020-06-21,-2.337902107486755
2020-06-27,-2.1250748859998545
2020-07-03,-1.8879590278513962
2020-07-09,-2.7163256728940546
2020-07-15,-2.4279432267468994
2020-07-21,-2.654245777517671
2020-07-27,-2.8181765471304203
2020-08-02,-2.272276537492111
2020-08-08,-2.492645846767532
2020-08-14,-1.968002176193183
2020-08-20,-2.508693521155143
2020-08-26,-2.5017037135916382
2020-09-01,-3.2646289895090614
2020-09-07,-3.629646688670622
2020-09-13,-3.7686835580464937
2020-09-19,-3.6505900497703454
2020-09-25,-3.544228923467843
2020-10-01,-4.323491250821228
2020-10-07,-4.138793138836777
2020-10-13,-4.439281342732791
2020-10-19,-5.084930747601876
2020-10-25,-4.727089368186202
2020-10-31,-4.272352720817465
2020-11-06,-4.583404419965341
2020-11-12,-5.336708640078177
2020-11-18,-5.252352330461523
2020-11-24,-5.069951648722352
2020-11-30,-5.737375770465712
2020-12-06,-6.151255405356035
2020-12-12,-6.025613259328803
2020-12-18,-5.407186006582763
2020-12-24,-4.843417808382835
2020-12-30,-5.354669229983146
