,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
363026,0.1086,,,-0.0838,,0.9378,,,-0.9447,,-0.0321,-0.0969,0.0428,,0.0004,,0.0009,-0.961,,0.0249,-0.1037,
363120,-0.1544,-0.0072,0.1844,0.1205,,5.6114,0.2071,-0.246,-5.7243,,-0.8835,,,,,,0.002,0.0041,-0.961,0.0236,,
363121,0.1032,-0.171,-0.25,,,0.6526,0.0148,-0.4421,,,-0.1055,,,,-0.1624,0.024,0.0023,-0.8094,,0.0119,-0.3612,0.0358
363228,-0.0962,0.1039,-0.3189,0.3118,,-1.7051,-0.4094,-0.8415,3.0257,,-0.0745,0.0131,-0.093,-0.0882,0.0763,,0.0014,-0.8926,,0.0221,-0.3134,
363229,-0.2924,-0.1479,,0.28,,1.0,0.0113,,-1.0685,,0.0958,-0.1077,-0.0787,-0.0639,0.0303,,0.0015,-0.9274,,0.0211,-0.1865,
363230,-0.0155,-0.0791,,0.1626,,2.4085,0.046,,-2.386,,-0.8853,-0.5434,-0.2866,,,,0.005,,,0.0203,,
363488,-0.2942,,,0.4139,,3.0161,,,-3.0068,,-0.0218,,,,0.0791,-0.0271,0.0014,-0.8906,,0.0199,-0.2758,-0.035
363489,-0.2334,-0.128,-0.181,0.3417,,1.4564,-0.2606,-0.0014,-1.3553,,-0.5441,,,,,,0.0024,,,0.0282,,
363599,-0.0046,-0.1114,-0.1453,,0.1464,1.2696,-0.0541,-0.583,,-0.5304,,,,,-0.1216,,0.0017,,,0.0417,-0.2867,
363600,0.0491,-0.0205,,,,-0.3138,0.2706,,,,,,,,,,0.0008,-0.9733,-0.0177,0.0348,,
363721,0.0146,,,-0.1518,,1.6704,,,-1.794,,,,,,0.0707,,0.5983,,,0.0333,-0.0052,
363722,0.0479,-0.1603,,,,-0.5038,0.4087,,,,-0.561,0.2748,0.2547,,,,0.0014,-0.2445,-0.6802,0.0303,,
363723,0.2711,0.0661,0.0869,,,-0.1606,0.4462,-0.2001,,,-0.8573,-0.5088,-0.2649,-0.1422,0.209,,0.0023,,,0.026,-0.1727,
363873,0.0343,-0.0117,-0.0547,,,-0.2087,-0.7021,0.8849,,,-0.125,0.0526,-0.0258,,0.0467,,0.001,-0.845,,0.0217,-0.1311,
363874,-0.0707,0.0567,,,,-0.8001,0.7302,,,,-0.6511,-0.5815,-0.3666,-0.2989,,,0.0057,,,0.0223,,
363993,-0.0044,,,,-0.0114,2.0414,,,,-2.072,0.6611,-0.09,0.0686,,,,0.1972,-0.4648,,0.0365,,
364224,-0.1404,,,,0.2952,0.0985,,,,0.0713,-0.7521,-0.4992,-0.2086,,0.0382,-0.1112,0.0022,,,0.0249,-0.0619,-0.0623
364225,0.0381,,,,-0.0703,-2.3354,,,,2.1438,-0.6139,,,,,,0.0033,,,0.0469,,
364226,-0.1395,-0.113,-0.0276,,,0.2354,-0.0134,-0.1039,,,-0.7037,,,,0.3205,,0.0012,-0.2477,-0.6012,0.0087,0.0469,
364465,0.5433,0.0129,-0.3095,-0.4658,,2.3666,-1.4303,0.2772,-1.0903,,-0.0508,,,,0.0327,-0.0124,0.0003,-0.9114,,0.0508,-0.2216,-0.0112
364466,-0.032,-0.1144,0.0113,,,0.0897,0.6785,-0.8253,,,,,,,,,0.0009,,,0.0284,,
364467,-0.2439,,,,,0.0402,,,,,0.5881,0.09,0.0207,0.0178,,,0.1711,-0.6248,,0.0381,,
364733,0.0517,,,,,-0.1495,,,,,-0.6927,-0.509,-0.3777,,,,0.0054,,,0.0185,,
364828,-0.066,0.1172,,,-0.207,0.9476,1.633,,,-2.9123,,,,,-0.0297,,0.0005,,,0.0283,-0.1899,
364829,-0.2611,-0.0435,-0.0449,,,0.2354,-0.5397,0.0018,,,,,,,-0.1907,-0.0336,0.0003,,,0.0322,-0.1976,0.0278
365077,-0.1673,,,0.2407,,4.6588,,,-4.7756,,0.1242,0.0726,0.0243,-0.1164,0.1503,,0.0006,-0.9423,,0.0312,0.0113,
365078,-0.1873,,,,0.3775,1.4442,,,,-1.5321,,,,,,,0.0012,-0.8626,,0.024,,
365201,0.4414,,,,-0.602,1.647,,,,-1.6564,0.0893,0.0602,0.0307,,,,0.0006,-0.9131,,0.0315,,
365321,-0.0293,,,,,-0.0683,,,,,,,,,0.0318,0.0084,0.0005,-0.9114,,0.0305,0.0195,0.0414
