,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
27590,0.0723,-0.214,0.0771,,0.3076,-3.2287,-1.3158,-0.7683,,5.0958,-0.0403,0.2275,0.0109,,,,0.0006,-0.9486,,0.0274,,
27948,0.1922,-0.1231,-0.1669,-0.4057,,-5.5141,1.3507,-1.2844,5.2949,,-0.89,-0.0145,-0.0052,,-0.2139,-0.0228,-0.0002,-0.0419,-0.9416,0.036,-0.1383,-0.0263
28028,0.2525,,,-0.3021,,4.2412,,,-4.3846,,-0.7365,-0.4437,-0.2168,,-0.0246,,0.0023,,,0.0163,-0.2767,
28089,-0.2309,-0.2486,-0.0412,0.3505,,0.7423,-0.2193,-0.2512,-0.1839,,0.0098,0.1453,,,0.0575,,-7.264e-05,-0.9223,,0.0372,-0.1537,
28138,0.0812,,,0.2243,,0.6973,,,-0.8635,,0.1355,,,,0.0141,0.0018,0.001,-0.8823,,0.0076,-0.3397,0.0614
28308,-0.1921,,,,0.3747,0.546,,,,-0.6328,0.0575,,,,0.0439,,0.0002,-0.9676,,0.0273,-0.21,
28404,0.0983,-0.0367,,-0.0922,,0.4519,0.7335,,-1.3178,,-0.5035,0.5796,0.5661,0.2181,-0.1387,0.008,3.923e-05,-0.1108,-0.8791,0.0223,-0.2544,0.0761
28851,-0.1944,-0.018,,0.3624,,9.9197,0.3337,,-10.6183,,0.2915,0.3673,,,,,0.2753,,,0.0155,,
29016,-0.1045,0.047,-0.1989,,,0.2923,-0.1441,-0.1291,,,-0.8633,,,,0.0238,,0.0008,-0.0828,-0.9089,0.0184,-0.3781,
29212,0.0212,,,,-0.03,-1.3965,,,,1.2077,0.1896,-0.0207,-0.012,-0.026,,,0.5267,-0.4036,,0.0337,,
29348,-0.0855,-0.3132,-0.156,,,-0.2864,0.461,-0.0798,,,,,,,-0.2356,-0.0356,0.8801,,,0.0271,-0.1642,0.044
