,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
862582,0.024,-0.2212,0.205,,,-0.1099,-1.8343,2.1898,,,,,,,,,0.3007,,,0.0309,,
862675,0.0102,-0.1261,-0.0548,,,0.8271,-2.4539,1.5101,,,0.8877,0.0763,,,,,0.0234,-0.761,,0.0223,,
862728,0.0663,,,-0.1495,,-1.8426,,,1.7868,,,,,,-0.0905,,-0.0031,,,0.0194,-0.0995,
862772,0.2331,0.0823,0.0261,-0.1579,,4.9625,1.1298,0.3956,-6.2091,,0.0055,-0.0823,-0.3936,0.0558,0.2301,0.0286,-0.0023,-0.7482,,0.0092,-0.094,0.0333
862809,0.0122,-0.054,0.2078,,,-0.5978,-0.5756,0.6546,,,-0.4164,0.4487,0.1866,-4.319e-05,,,0.0001,-0.0576,-0.676,0.0152,,
862873,0.0991,,,,0.0448,-0.1168,,,,0.3743,,,,,,,-0.0027,,,0.0122,,
862943,-0.0107,,,,0.1866,-0.7636,,,,0.5393,-0.5066,0.2542,0.2187,0.0675,0.0081,-0.0731,-0.001,-0.302,-0.5824,0.0161,-0.1513,0.0095
862986,0.1003,,,,,-0.1774,,,,,-0.5015,-0.5036,-0.3218,,,,-0.0022,,,0.0213,,
863025,0.0054,,,,,0.1206,,,,,0.3291,0.9203,-0.2598,,,,0.0043,0.1062,-0.7415,0.0105,,
863073,0.0852,0.0334,-0.0184,-0.0034,,-1.1278,0.3156,-0.4028,1.4917,,-0.2223,0.6434,0.1869,,,,-0.0005,-0.1572,-0.7985,0.0143,,
863074,0.0431,0.0098,,,-0.1105,1.7343,0.8374,,,-2.5441,-0.5537,0.3509,0.2554,,,,-0.002,-0.1171,-0.7843,0.0167,,
863155,-0.256,-0.0977,,0.2693,,-2.8926,0.2913,,2.4797,,,,,,,,-0.0004,,,0.0216,,
