,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
316676,0.1288,,,,-0.5138,-2.5847,,,,2.6619,-0.4482,,,,-0.1388,,0.0016,,,0.0275,-0.095,
317654,-0.1798,0.1224,,,0.4372,-5.6044,-5.6998,,,10.9978,-0.5371,-0.3554,,,0.3129,,-0.002,,,0.026,0.1582,
317655,-0.2875,,,0.4748,,-10.2039,,,10.1096,,,,,,,,0.0003,-0.8545,,0.0308,,
318449,0.0699,0.1463,,,-0.0213,11.374,6.6707,,,-18.1407,0.2532,0.554,,,,,0.084,-0.0228,-0.5345,0.0334,,
318450,0.3396,0.063,-0.0686,,,0.3236,0.4293,-0.795,,,-0.4966,,,,,,0.0014,,,0.0387,,
319650,0.0507,,,,,0.2358,,,,,-0.0414,0.2954,0.1527,,-0.0015,0.0244,-0.0008,-0.9396,,0.0165,-0.1055,6.42e-05
319876,0.1639,-0.0337,0.111,,,0.6808,-1.4099,0.8367,,,0.288,0.0016,-0.0426,,,,-0.0006,-0.949,,0.0275,,
320072,-0.0727,0.0758,0.1287,,,0.7617,-1.533,0.9217,,,-0.5371,-0.2889,-0.094,,,,-0.0019,-0.2537,-0.0923,0.0172,,
321330,-0.1435,0.1218,0.2142,,,-0.2379,0.1871,0.1427,,,0.0415,,,,0.1078,-0.064,-0.0009,-0.8611,,0.0236,0.0573,-0.0091
321547,0.0602,,,,-0.053,1.121,,,,-1.0502,-0.4802,,,,,,-0.002,-0.2579,-0.5748,0.0259,,
321968,0.0921,,,,,0.0771,,,,,-0.4672,0.3509,0.1991,,-0.088,,-0.001,-0.2213,-0.7444,0.0186,-0.055,
322182,-0.0418,,,,,0.123,,,,,-0.0299,,,,,,-0.0019,-0.8187,,0.0104,,
322183,0.0244,,,,,-0.0526,,,,,,,,,,,-0.0006,,,0.0288,,
323172,0.0079,0.0849,-0.0594,,,-0.8696,0.9342,-0.1832,,,0.4257,-0.179,0.2237,-0.2599,,,-0.0011,-0.8944,,0.0172,,
323928,0.1386,0.187,0.3251,,,-0.4948,-0.0577,0.3269,,,0.2109,-0.2659,-0.0381,0.0245,0.1813,0.0668,0.2152,-0.0418,0.2836,0.0311,0.1335,0.0211
323929,0.4411,0.1289,0.1244,-0.4492,,-3.1771,-1.4887,0.8244,3.8535,,-0.5242,,,,0.1194,0.0285,-4.946e-05,-0.2804,-0.5629,0.0314,-0.0288,0.0407
324522,-0.1776,,,,0.3246,-0.3019,,,,0.2294,,,,,,,0.4671,0.0474,,0.0418,,
324710,0.025,,,,-0.0327,2.3299,,,,-2.3616,0.1415,0.172,0.0749,,,,-0.0009,-0.9878,,0.0339,,
339519,-0.0265,,,,,-0.0866,,,,,0.2048,-0.0659,,,-0.03,0.0628,0.0012,-0.9071,,0.0247,0.0397,0.0503
340077,0.0394,0.0442,-0.0138,,,1.19,-0.5575,-0.9628,,,0.2761,-0.1002,0.1698,,,,-0.0002,-0.9291,,0.0369,,
340267,-0.2808,,,0.5283,,-3.1203,,,2.7834,,0.2743,,,,,,-0.0006,-0.9302,,0.0175,,
340458,0.2768,-0.0929,,-0.0804,,10.2603,0.2319,,-10.4285,,,,,,0.1153,0.081,0.2978,,,0.0329,-0.0481,0.0057
340678,0.3063,-0.028,,,,0.2714,-0.4846,,,,0.115,-0.2471,,,-0.0302,0.023,-0.0001,-0.8992,,0.0359,0.1076,-0.0276
340877,-0.0258,0.1583,-0.1361,,,0.6418,-3.1606,2.0021,,,0.8803,,,,,,0.1045,-0.6829,,0.0257,,
341043,0.2162,-0.1202,,,,-0.5722,0.3338,,,,-0.5484,,,,,,0.0016,,,0.0398,,
341441,0.4313,0.131,0.2265,-0.0123,,2.8504,2.9423,-0.917,-4.8588,,0.5786,-0.6127,0.284,,0.2624,,-0.0455,-0.2532,0.696,0.0319,0.0378,
343162,0.1546,,,,-0.0894,-0.6026,,,,0.7025,,,,,-0.0346,,-0.0014,-0.9385,,0.0098,-0.0556,
343566,0.111,0.0005,-0.0929,,,0.4161,-0.8746,0.5508,,,-0.8713,-0.5161,-0.3399,-0.2522,0.0153,-0.086,-0.0004,,,0.0228,-0.1192,0.0276
344434,0.1584,,,,-0.0129,-2.5677,,,,3.117,,,,,,,-0.0013,,,0.0204,,
345250,-0.0349,,,,,0.129,,,,,0.2863,0.2019,0.0306,0.1175,,,-0.0005,-0.961,,0.0173,,
345649,0.0274,,,,,0.4591,,,,,,,,,,,-0.0012,,,0.022,,
346455,0.0551,0.0339,,,,0.0215,0.1025,,,,-0.9688,,,,,,-0.0031,-0.0942,-0.7543,0.025,,
346632,0.3358,,,-0.6226,,2.504,,,-2.3526,,0.1106,0.8509,,,-0.0187,,0.0215,0.0448,-0.7992,0.0166,-0.1199,
346834,0.3277,,,,,-0.2389,,,,,1.2207,-0.2515,,,,,0.0163,-0.9471,,0.0284,,
346835,-0.0248,,,,0.0764,1.4975,,,,-1.6467,0.0987,0.0356,-0.0949,0.0616,,,0.0002,-0.8567,,0.0283,,
347661,0.2114,,,,,-0.0574,,,,,,,,,0.0172,,0.4786,0.0857,,0.0261,-0.0783,
