,T0,T1,TM3,TM6,W0,W1,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
416750,0.0951,,,-0.25,0.232,,,0.0347,-0.4876,,,,-0.1116,,-0.0012,-0.196,-0.5868,0.0228,-0.0297,
416751,0.063,,,-0.3033,2.0575,,,-2.0099,0.4096,0.7075,-0.1675,,-0.0509,0.0294,0.0293,0.083,-0.7319,0.018,-0.0213,0.0565
417156,0.0357,,,,0.1889,,,,-0.2759,,,,0.0223,,-0.0006,,,0.0232,0.1274,
417568,-0.2382,,0.1514,,-3.5783,,3.713,,,,,,,,0.4585,0.4001,,0.0297,,
417998,-0.0309,-0.0789,,,0.5495,-0.3864,,,0.4089,-0.0235,-0.0093,-0.0353,-0.0724,,-0.0009,-0.9347,,0.0215,0.0218,
418478,0.1122,0.0312,,,-0.5239,0.5444,,,-0.5672,-0.2316,-0.3838,-0.2644,,,-0.0025,0.2174,,0.0213,,
418934,0.0478,0.2237,,,0.2127,-0.1508,,,-0.4553,-0.2917,-0.26,,,,-0.0041,,,0.0238,,
418935,0.0642,-0.0984,,,0.2133,-0.1753,,,0.5934,,,,-0.1119,-0.0123,-0.0005,-0.9411,,0.0153,-0.0081,-0.0491
418936,-0.0118,,0.1264,,-4.5195,,4.1612,,0.4696,0.0546,,,-0.0598,0.003,-0.0001,-0.9751,,0.0291,0.1952,-0.056
419420,0.1844,,,0.1686,-0.2189,,,0.1764,0.9372,,,,,,0.0218,-0.1801,-0.4531,0.0181,,
420337,0.0091,,,,0.1599,,,,-0.1586,0.6323,,,-0.0525,-0.03,0.241,0.6242,-0.2756,0.0228,-0.065,-0.0597
