,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
416750,-0.1159,,,,0.0759,0.7219,,,,-0.7054,0.3656,0.0689,-0.2557,0.0075,-0.0338,-0.0012,-0.8644,,0.0167,-0.1092,-0.0732
416751,-0.0312,,,,-0.1393,-0.2256,,,,0.1553,,,,,,-0.0021,,,0.0123,,
417156,0.0454,,,,,-0.0181,,,,,0.6883,,,,,-0.0007,-0.9805,,0.0102,,
417568,-0.0766,,,,,-0.0566,,,,,0.6515,0.0428,,,,-0.0008,-0.983,,0.0079,,
417998,-0.0586,-0.057,,0.0545,,-2.689,-0.7851,,3.4262,,0.4271,0.0026,,,,-0.0006,-0.8999,,0.0199,,
418478,0.0298,,,,,0.1217,,,,,,,,-0.0804,,-0.0017,-0.4919,-0.3137,0.01,-0.1603,
418934,-0.0898,,,,0.0787,0.8494,,,,-0.6219,0.4021,,,-0.0773,,-0.001,-0.9235,,0.0167,-0.158,
418935,-0.0091,0.0997,0.1375,,,0.3065,-0.7269,0.4456,,,0.3182,0.3522,,,,-0.0003,-0.4996,-0.4512,0.013,,
418936,0.1191,0.2007,0.0743,0.03,,1.167,0.1554,0.0083,-1.6067,,,,,0.0088,0.0258,0.0002,-0.503,-0.401,0.0201,-0.0741,-0.0583
419420,0.0896,,,,,0.0422,,,,,0.3236,0.4375,-0.0169,0.2495,,-0.0003,-0.2313,-0.7334,0.0123,-0.0034,
420337,-0.0838,-0.1675,,,,0.0947,-0.0214,,,,0.5399,-0.1186,,-0.0424,-0.0392,0.3866,-0.1199,0.2916,0.0251,-0.1491,-0.035
