,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
482780,-0.0987,0.1026,0.1499,,0.1536,-5.3823,-3.0838,0.4078,,7.7942,-0.4639,0.1364,-0.0525,0.0242,0.0778,,0.0011,-0.3117,-0.5757,0.0294,0.083,
482813,0.2008,,,,,0.0591,,,,,0.5922,0.2749,-0.0213,,-0.0567,-0.0292,0.0592,-0.5193,-0.2442,0.0351,-0.0197,0.0609
482846,-0.0368,-0.2478,0.2102,,,0.5903,0.0101,-0.3849,,,0.2289,-0.1546,-0.0269,0.0371,-0.2382,-0.082,0.0004,-0.9058,,0.0304,-0.0199,0.0023
482847,-0.2181,,,0.1396,,-11.8398,,,12.0948,,0.0507,0.0656,,,-0.0812,-0.0161,0.4173,,,0.0253,0.0245,0.09
482885,0.0053,,,,0.0195,0.8078,,,,-0.7494,-0.6505,0.2935,-0.0501,,,,0.0004,0.1044,-0.8534,0.0256,,
482886,0.0215,0.3039,,,-0.2823,3.0854,1.61,,,-4.9059,,,,,0.1054,0.0654,-0.0001,,,0.0264,-0.0205,0.0064
482887,0.5039,0.2185,0.079,,-0.3729,-2.5144,-2.4057,0.2587,,4.9115,0.0053,0.0581,,,0.2981,,0.001,-0.9625,,0.0305,0.0047,
483059,-0.0147,-0.072,-0.0859,,,0.7286,1.1392,-1.7702,,,0.8274,,,,,,0.0909,-0.8927,,0.0312,,
483504,-0.0454,0.0654,,,,-0.7885,0.8367,,,,-0.7163,0.0679,0.021,0.0537,,,0.0021,-0.1106,-0.7754,0.0228,,
483542,0.2078,-0.0794,-0.0812,,,0.6125,0.398,-0.8439,,,,,,,-0.076,,0.001,-0.7808,-0.1721,0.0383,-0.1284,
483902,-0.1767,,,,0.0973,0.3294,,,,-0.3953,0.0463,-0.022,,,0.037,-0.0739,0.0016,-0.9203,,0.0197,0.0473,-0.0228
